a	s	folder	dir	p	co_wes	note
A00945	T9450021R-RT	R20034806LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA00945PDL		
A09937	A09937cDNA	IDT-library-2	Project_s440g01014_18Samples_20191229	P23A09937L2		
A08570	T5704361R-RT	R19031682LU01	Project_s440e26217_2Samples_20190715	P230857001		
A05725	T7253211-RT	R20013581LU01	Project_s440e26499_42Samples_20200430	P23KYA05725CC		
A02537	T5372782RA-RT	R20012898LU01	Project_s440e26495_56Samples_20200425	P23KYA02537CC		
A10428	T4281662R-RT	R19056909LU01	Project_s440e26395_1Samples_20200103	P231042801		
AZS17P	ZS_17P	ZS_17P	zhongshan_huangxiaowu	P23BIAZS17P		
A11930	T9307982R-RT	R20028663LU01	Project_s440e26572_6Samples_20200718_1595069468	P231193001		
A10123	T1234161R-RT	R19050738LU01	Project_s440e26363_6Samples_20191120	P231012301		
A04569	T5694761RA-RT	R20014344LU01	Project_s440e26505_46Samples_20200505	P23KYA04569CC		
A11660	T6605991R-RT	R20024738LU01	Project_s440e26552_3Samples_20200630	P231166001		
A10995	T9955532R-RT	R20010026LU01	Project_s440e26474_6Samples_20200402	P231099501		
A12022	T0224401R-RT	R20032121LU01	Project_s440e26591_7Samples_20200804_1596543251	P231202202		
A08330	T3308981R-RT	R19030303LU01	Project_s440e26209_10Samples_20190708	P230833001		
A08540	T5407492R-RT	R19031165LU01	Project_s440e26212_4Samples_20190710	P230854001		
A09533	T5337401R1-RT	R19043060LU01	Project_s440e26317_4Samples_20191004	P230953301		
A10637	T6378082R-RT	R20001223LU01	Project_s440e26420_6Samples_20200115	P231063701		
A09694	T6948532R-RT	R19044241LU01	Project_s440e26326_3Samples_20191018	P230969401		
A10894	T8947921R-RT	R20008407LU01	Project_s440e26460_1Samples_20200319	P231089401		
A11398	T3985721R-RT	R20018562LU01	Project_s440e26525_3Samples_20200530	P231139801		
A07978	T9789531R-RT	R19023850LU01	Project_s440e26156_6Samples_20190528	P230797801		
A06268	T2681792RA-RT	R20012918LU01	Project_s440e26495_56Samples_20200425	P23KYA06268CC		
A09026	T0261452R-RT	R19036102LU01	Project_s440e26260_7Samples_20190819	P230902601		
A01378	T3784021R-RT	R20016281-T3784021R-RT	Project_s440g01021_10Samples_20200519	P23KYA01378		
A06723	T7239831R-TR	R19004267LU01	Project_s440e26015_4Samples_20190131	P230672301		
A11802	T8025102R-RT	R20025247LU01	Project_s440e26557_8Samples_20200704	P231180201		
A10823	T8238712R-RT	R20024989-pool3-T8238712R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA10823HM1		
A11040	T0408651R-RT	R20011464LU01	Project_s440e26485_6Samples_20200413	P231104001		
A08085	T0851952R-RT	R19026644LU01	Project_s440e26175_7Samples_20190611	P230808501		
A08555	T5553430R-RT	R19040508LU01	Project_s440e26294_11Samples_20190916	P23A08555T		
A11101	T1011441R-RT	R20013551LU01	Project_s440e26499_42Samples_20200430	P231110101		
A06282	T2822942-TR	R18073811LU01	Project_s440e03557_5Samples_20181228	P2306282		
A11100	T1001901R-RT	R20012268LU01	Project_s440e26490_9Samples_20200420	P231110001		
A11959	T9592081R-RT	R20030014LU01	Project_s440e26580_6Samples_20200725_1595671962	P231195901		
A09230	T2303911R-RT	R19038051LU01	Project_s440e26278_8Samples_20190903	P230923001		
A03545	T5454242-RT	R20013601LU01	Project_s440e26499_2Samples_20200430	P23KYA03545half		
A06979	T9793971R-RT	R20014328LU01	Project_s440e26505_46Samples_20200505	P23KYA06979CC		
A08719	T7198231R-RT	R19033383LU01	Project_s440e26235_5Samples_20190728	P230871901		
A11926	T9266652R-RT	R20029014LU01	Project_s440e26575_5Samples_20200720_1595240086	P231192601		
A07499	T4998561R-TR	R19017376LU01	Project_s440e26099_4Samples_20190415	P230749901		
A09653	T6535791R-RT	R19043603LU01	Project_s440e26323_9Samples_20191013	P230965301		
A11504	T5044072R-RT	R20022086LU01	Project_s440e26540_8Samples_20200615	P231150401		
A12138	T1381011R-RT	R20034803LU01	Project_s440e26604_15Samples_20200816_1597570099	P231213801		
A10006	T0065801R-RT	R19048984LU01	Project_s440e26352_2samples_20191115	P231000601		
A09008	T0088621R-RT	R19035779LU01	Project_s440e26256_8Samples_20190817	P230900801		
AZS18P	ZS_18P	ZS_18P	zhongshan_huangxiaowu	P23BIAZS18P		
A09017	T0178401R-RT	R19035790LU01	Project_s440e26256_8Samples_20190817	P230901701		
A09737	T7378721R-RT	R19045490LU01	Project_s440e26332_4Samples_20191025	P230973701		
A09869	T8698062R-RT	R19047485LU01	Project_s440e26342_11Samples_20191104	P230986901		
A01378	T3784021R-RT-1	R20024994-pool8-T3784021R-RT-pre-1	Project_s440g01025_60Samples_20200701	P23KYA01378HM12		
A10800	T8006051R-RT	R20003997LU01	Project_s440e26440_8Samples_20200224	P231080001		
A09861	T8617642R-RT	R19046348LU01	Project_s440e26338_6Samples_20191031	P230986101		
A10047	T0476812R1-RT	R19050370LU01	Project_s440e26360_8Samples_20191117	P231004701		
A10212	T2126832R-RT	R19053639LU01	Project_s440e26377_12Samples_20191201	P231021201		
A10059	T0592021R-RT	R20013981LU01	Project_s440e26502_61Samples_20200502	P23KYA10059CC		
A01554	T5544691R-RT	R20034808LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA01554PDL1		
A11888	T8885661R-RT	R20029006LU01	Project_s440e26575_2Samples_20200723_1595481514	P231188801		
A07349	T3496861RA-RT	R20014009LU01	Project_s440e26502_61Samples_20200502	P23KYA07349CC		
A09903	T9034141R-RT	R19048979LU01	Project_s440e26352_2samples_20191115	P230990301		
A10307	T3074131R-RT	R19058550LU01	Project_s440e26408_2Samples_20200102	P231030701		
A10569	T5698531R-RT	R20000334LU01	Project_s440e26413_8Samples_20200108	P231056901		
A11799	T7992731R-RT	R20025245LU01	Project_s440e26557_8Samples_20200704	P231179901		
A10823	T8238712R-RT	R20028193-WES4-RT-T8238712R-RT	Project_s440g01027_8Samples_20200714_1594663925	P23KYA10823M4		
A04833	T8336888RA-RT	R20014012LU01	Project_s440e26502_61Samples_20200502	P23KYA04833CC		
A09849	T8493382R-RT	R19045997LU01	Project_s440e26336_20Samples_20191028	P230984901		
A11416	T4169921R-RT	R20019125LU01	Project_s440e26528_9Samples_20200601	P231141601		
A05203	T2039211-TR	R18059861LU01	Project_s440e03480_5Samples_181008	P2305203B		
A11414	T4145331R-RT	R20029966-A11414RT-IVGN-half	Project_s440g01029_8Samples_20200727_1595841123	P23A11414SShalf		
A11421	T4218872R-RT	R20029967-A11421RT-IVGN-half	Project_s440g01029_8Samples_20200727_1595841123	P23A11421SShalf		
A10461	T4618591R-RT	R19058116LU01	Project_s440e26406_4Samples_20191229	P231046101		
A08603	T6031920-RT	R19040507LU01	Project_s440e26294_11Samples_20190916	P23A08603T		
A10541	T5418232R-RT	R20000306LU01	Project_s440e26413_8Samples_20200108	P231054101		
A11828	T8281581R-RT	R20025255LU01	Project_s440e26557_8Samples_20200704	P231182801		
A12176	T1761451R-RT	R20036456LU01	Project_s440e26608_8Samples_20200818_1597741963	P231217601		
A10428	T4281662R-RT	R19056909LU01	Project_s440e26395_1Samples_20191230	P231042801		
AZS6P	ZS_6P	ZS_6P	zhongshan_huangxiaowu	P23BIAZS6P		
A11944	T9444292R-RT	R20030009LU01	Project_s440e26580_6Samples_20200725_1595671962	P231194401		
A09738	T7384281R-RT	R20025241LU01	Project_s440e26557_8Samples_20200704	P230973801		
A10919	T9195331R-RT	R20010027LU01	Project_s440e26474_6Samples_20200402	P231091901		
A11414	T4145331R-RT	R20029962-A11414RT-IVGN-all	Project_s440g01029_8Samples_20200727_1595841123	P23A11414SSall		
A09239	T2394772R-RT	R19038058LU01	Project_s440e26278_8Samples_20190903	P230923901		
A10249	T2497202R-RT	R19054582LU01	Project_s440e26383_2Samples_20191210	P231024901		
A03536	T5368331RA-RT	R20014000LU01	Project_s440e26502_61Samples_20200502	P23KYA03536CC		
A08934	T9347091R-RT	R19035662LU01	Project_s440e26253_6Samples_20190815	P230893401		
A09654	T6543211R-RT	R19045119LU01	Project_s440e26329_3Samples_20191021	P230965402		
A10760	T7603311R-RT	R20004345LU01	Project_s440e26442_1Samples_20200229	P231076001		
A01378	T3784021R-RT	R20024989-pool3-T3784021R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA01378HM11		
A07325	T3253791R-TR	R19013856LU01	Project_s440e26085_5Samples_20190402	P230732501		
A10518	T5187761R-RT	R20000301LU01	Project_s440e26413_8Samples_20200108	P231051801		
A09220	T2205988R-RT	R19038612LU01	Project_s440e26280_7Samples_20190905	P230922001		
A04324	T3249782-RT	R20014316LU01	Project_s440e26505_9Samples_20200508	P23KYA04324CC		
A09804	T8041382R-RT	BKDL202570165-1a-A53	20200420-PE150-B1-pool-3/1.rawdata	P23KY0980401		
A07351	T3512751R-TR	R19013875LU01	Project_s440e26085_5Samples_20190402	P230735101		
A05814	T8141011-TR	R18067776LU01	Project_s440e03521_3Samples_20181125	P2305814		
A07613	T6138802R-RT	R19025602LU01	Project_s440e26167_3Samples_20190603	-		
A09967	T9677722R-RT	R19048980LU01	Project_s440e26352_6Samples_20191111	P230996701		
A09616	T6168421R-RT	R19047484LU01	Project_s440e26342_11Samples_20191104	P230961601		
A11927	T9277022R-RT	R20029017LU01	Project_s440e26575_5Samples_20200720_1595240086	P231192701		
A09458	T4582912R-RT	R19047483LU01	Project_s440e26342_11Samples_20191104	P230945802		
A07353	T3531908R2-TR	R19017361LU01	Project_s440e26099_4Samples_20190415	P230735301		
A09264	T2645061R-RT	R19038625LU01	Project_s440e26280_7Samples_20190905	P230926401		
A06178	T1782332RA-RT	R20012916LU01	Project_s440e26495_56Samples_20200425	P23KYA06178CC		
A10814	T8147342R-RT-2	R20024994-pool8-T8147342R-RT-pre-2	Project_s440g01025_60Samples_20200701	P23KYA10814HM13		
A08434	T4345371R-RT	R19029332LU01	Project_s440e26200_7Samples_20190630	P230843401		
A09705	T7055321R-RT	R19045123LU01	Project_s440e26329_11Samples_20191020	P230970502		
A05331	T3317201-RT	R20013599LU01	Project_s440e26499_42Samples_20200430	P23KYA05331half		
A08442	T4426182R-RT	R19029335LU01	Project_s440e26200_7Samples_20190630	P230844201		
A04408	T4086841-RT	R20014042LU01	Project_s440e26502_4Samples_20200505	P23KYA04408CC		
A01061	T0611382RA-RT	R20012892LU01	Project_s440e26495_56Samples_20200425	P23KYA01061CC		
A05305	T3057551-RT	BKDL202570165-1a-A38	20200420-PE150-B1-pool-3/1.rawdata	P23KY05305		
A08861	T8616801R-RT	R19034322LU01	Project_s440e26240_8Samples_20190806	P230886101		
A09935	T9358201R-RT	R19056431LU01	Project_s440e26392_15Samples_20191220	P230993501		
A09946	T9467448RA-RT	R20012885LU01	Project_s440e26495_56Samples_20200425	P23KYA09946CC		
A10277	T2772671R-RT	R19054944LU01	Project_s440e26385_2Samples_20191221	P231027701		
A10359	T3592112R-RT	BKDL202570165-1a-A13	20200420-PE150-B1-pool-3/1.rawdata	P23KY1035901		
A10781	T7812086RA-RT	R20016281-T7812086RA-RT	Project_s440g01021_10Samples_20200519	P23KYA10781		
A08468	T4684802R-RT	R19030268LU01	Project_s440e26209_10Samples_20190708	P230846801		
A06069	T0693951R-TR	R19005071LU01	Project_s440e26024_2Samples_20190217	P230606901		
A06804	T8044232R1-TR	R19005495LU01	Project_s440e26032_3Samples_20190220	P230680401		
A09706	T7069172R-RT	R19045124LU01	Project_s440e26329_11Samples_20191020	P230970601		
A10197	T1973822R2-RT	R19054942LU01	Project_s440e26385_3Samples_20191217	P231019701		
A10230	T2304731R-RT	R19053642LU01	Project_s440e26377_12Samples_20191201	P231023001		
A08835	T8353721R-RT	R19041626LU01	Project_s440e26305_1Samples_20190926	P230883501		
A09935	T9356042R-RT	R19047493LU01	Project_s440e26342_1samples_20191109	P230993501		
A09460	T4602411R-RT	R20013989LU01	Project_s440e26502_61Samples_20200502	P23KYA09460CC		
A12038	T0389201R-RT	R20031319LU01	Project_s440e26588_10Samples_20200802_1596370324	P231203801		
A11056	T0562382R-RT	R20011467LU01	Project_s440e26485_6Samples_20200413	P231105601		
A11466	T4667001R-RT	R20021549LU01	Project_s440e26538_7Samples_20200613	P231146601		
A04566	T5661032RA-RT	R20014017LU01	Project_s440e26502_61Samples_20200502	P23KYA04566CC		
A09682	T6829001R-RT	R19043604LU01	Project_s440e26323_9Samples_20191013	P230968201		
A11013	T0136711R-RT	R20011107LU01	Project_s440e26481_4Samples_20200410	P231101301		
A09791	A09791cDNA	IDT-library-2	Project_s440g01014_18Samples_20191229	P23A09791L2		
A09969	T9692992R-RT-2	R20024994-pool8-T9692992R-RT-pre-2	Project_s440g01025_60Samples_20200701	P23KYA09969HM13		
A06755	T7559171R-TR	R19004699LU01	Project_s440e26020_3Samples_20190211	P230675501		
A06700	T7002478R-RT	R20014311LU01	Project_s440e26505_46Samples_20200505	P23KYA06700CC		
A09977	T9774642R-RT	R19048982LU01	Project_s440e26352_6Samples_20191111	P230997701		
A03860	T8602081RA-RT	R20014341LU01	Project_s440e26505_46Samples_20200505	P23KYA03860CC		
A09883	T8838641R-RT	R19047488LU01	Project_s440e26342_11Samples_20191104	P230988301		
A08216	T2168572RA-RT	R20012875LU01	Project_s440e26495_56Samples_20200425	P23KYA08216CC		
A10865	T8654032R-RT	R20007122LU01	Project_s440e26455_2Samples_20200313	P231086501		
A09494	T4945481R-RT	R19043597LU01	Project_s440e26323_9Samples_20191013	P230949401		
A11034	T0342082R-RT	R20011108LU01	Project_s440e26481_4Samples_20200410	P231103401		
A11173	T1736641R-RT	R20015197LU01	Project_s440e26508_3Samples_20200511	P231117301		
A10845	T8453781R-RT	R20007118LU01	Project_s440e26455_1Samples_20200316	P231084501		
A08963	T9637021R-RT	R19035771LU01	Project_s440e26256_8Samples_20190817	P230896301		
A05041	T0417781-RT	R20014333LU01	Project_s440e26505_1Samples_20200505	P23KYA05041CC		
S0000407	T000040702RA-RT	R20012890LU01	Project_s440e26495_56Samples_20200425	P23KYS0000407CC		
A05374	T3742118RA-RT	R20013571LU01	Project_s440e26499_42Samples_20200430	P23KYA05374CC		
A08507	T5075172R-RT	R19031162LU01	Project_s440e26212_4Samples_20190710	P230850701		
A12075	T0755731R1-RT	R20033551LU01	Project_s440e26598_5Samples_20200811_1597133526	P231207501		
A06246	T2462011-RT	BKDL202570165-1a-A47	20200420-PE150-B1-pool-3/1.rawdata	P23KY06246		
A07911	T9115928R-RT	R19023291LU01	Project_s440e26150_3Samples_20190523	P230791101		
A09566	T5661041R-RT	R19043068LU01	Project_s440e26317_4Samples_20191004	P230956601		
A09616	A09616RT-F	R20006860-Agilent-FFPE	Project_s440g01017_12Samples_20200308	P23A09616FFPE		
A08705	T7054941R-RT	R19034277LU01	Project_s440e26240_8Samples_20190806	P230870501		
A05469	T4699391-TR	R18059991LU01	Project_s440e03485_3Samples_181013	P2305469		
A10592	T5929751R-RT	R20001221LU01	Project_s440e26420_6Samples_20200115	P231059201		
A06135	T1351032RA-RT	R20014022LU01	Project_s440e26502_61Samples_20200502	P23KYA06135CC		
A10952	T9525201R-RT	R20032921LU01	Project_s440e26597_14Samples_20200809_1596972738	P23KYA10952CC		
A06038	T0388861RA-RT	R20014350LU01	Project_s440e26505_46Samples_20200505	P23KYA06038CC		
A11496	T4967301R-RT	R20021553LU01	Project_s440e26538_7Samples_20200613	P231149601		
A09774	T7745112R-RT	R19045981LU01	Project_s440e26336_20Samples_20191028	P230977401		
A10508	T5085832R-RT	R19058559LU01	Project_s440e26408_2Samples_20200102	P231050801		
A07639	T6398291R-TR	R19018798LU01	Project_s440e26111_7Samples_20190425	P230763901		
A11849	T8492611R-RT	R20027248LU01	Project_s440e26564_8Samples_20200711_1594455807	P231184901		
A10115	T1159841R-RT	R19051895LU01	Project_s440e26369_5Samples_20191125	P231011501		
A10177	T1773071R-RT	R19054581LU01	Project_s440e26383_2Samples_20191210	P231017701		
A09034	T0345241R-RT	R19035799LU01	Project_s440e26256_8Samples_20190817	P230903401		
A05331	T3317201RA-RT	R20013579LU01	Project_s440e26499_42Samples_20200430	P23KYA05331CC		
A05601	T6018448-RT	R20014040LU01	Project_s440e26502_4Samples_20200505	P23KYA05601CC		
A12098	T0986981R-RT	R20033554LU01	Project_s440e26598_5Samples_20200811_1597133526	P231209801		
A07933	T9338811R-RT	R19023293LU01	Project_s440e26150_3Samples_20190523	P230793301		
A09483	T4836112R-RT	R19042079LU01	Project_s440e26311_5Samples_20190929	P230948301		
A09787	T7878791R-RT	R19045982LU01	Project_s440e26336_20Samples_20191028	P230978701		
A10247	T2473252R-RT	R19054066LU01	Project_s440e26379_4Samples_20191204	P231024701		
A05733	T7339358RA-RT	R20014360LU01	Project_s440e26505_46Samples_20200505	P23KYA05733CC		
A08068	T0682481R-RT	R19025576LU01	Project_s440e26166_8Samples_20190603	P230806801		
A09613	T6138431R-RT	R19045979LU01	Project_s440e26336_20Samples_20191028	P230961301		
A10636	T6361611R-RT	R20013999LU01	Project_s440e26502_61Samples_20200502	P23KYA10636CC		
A02954	T9546862RA-RT	R20012901LU01	Project_s440e26495_56Samples_20200425	P23KYA02954CC		
A11354	T3547661R-RT	R20017735LU01	Project_s440e26522_5Samples_20200525	P231135401		
A08867	T8671442R-RT	R19034896LU01	Project_s440e26243_12Samples_20190807	P230886701		
A09581	T5813981R-RT	R19045118LU01	Project_s440e26329_11Samples_20191020	P230958101		
A09557	T5579852R-RT	R19043063LU01	Project_s440e26317_4Samples_20191004	P230955701		
A09643	T6433892R-RT	R19043456LU01	Project_s440e26320_8Samples_20191012	P230964301		
A09734	T7346668R-RT	R19045489LU01	Project_s440e26332_4Samples_20191025	P230973401		
A09970	T9702172RA-RT	R20014339LU01	Project_s440e26505_46Samples_20200505	P23KYA09970CC		
A03729	T7299891-RT	R20014318LU01	Project_s440e26505_46Samples_20200505	P23KYA03729CC		
A09425	T4255892RA-RT	R20012883LU01	Project_s440e26495_56Samples_20200425	P23KYA09425CC		
A06337	T3371528-RT	R20014039LU01	Project_s440e26502_4Samples_20200505	P23KYA06337CC		
A11008	T0085998R-RT	R20012247LU01	Project_s440e26490_9Samples_20200420	P231100801		
A09084	T0848791R-RT	R19038634LU01	Project_s440e26280_7Samples_20190905	P230908401		
A10359	T3592112R-RT	R19056906LU02	Project_s440e26395_1Samples_20191229	P231035901		
A12026	T0265881R-RT	R20031316LU01	Project_s440e26588_10Samples_20200802_1596370324	P231202601		
A10705	T7055902R-RT	R20003534LU01	Project_s440e26437_4Samples_20200219	P231070501		
A09969	T9692992R-RT	R20024989-pool3-T9692992R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA09969HM11		
A06866	T8664381R-RT	R19034874LU01	Project_s440e26243_12Samples_20190807	P230686601		
A10549	T5492151R-RT	R20001766LU01	Project_s440e26427_13Samples_20200119	P231054901		
A05485	T4855418RA-RT	R20013573LU01	Project_s440e26499_42Samples_20200430	P23KYA05485CC		
A07387	T3875021R-RT	R20013982LU01	Project_s440e26502_61Samples_20200502	P23KYA07387CC		
A06274	T2743761-RT	R20014326LU01	Project_s440e26505_1Samples_20200507	P23KYA06274CC		
A11413	T4137682R-RT	R20019123LU01	Project_s440e26528_9Samples_20200601	P231141301		
A05483	T4836808RA-RT	R20014358LU01	Project_s440e26505_46Samples_20200505	P23KYA05483CC		
A06646	T6466431R-TR	R19004500LU01	Project_s440e26019_2Samples_20190211	P230664601		
A10270	T2703992R1-RT	R19055484LU01	Project_s440e26389_7Samples_20191217	P231027001		
A11516	T5162141R-RT	R20022092LU01	Project_s440e26540_8Samples_20200615	P231151601		
A09969	T9692992R-RT-1	R20024994-pool8-T9692992R-RT-pre-1	Project_s440g01025_60Samples_20200701	P23KYA09969HM12		
A10475	T4756282R-RT	R19058119LU02	Project_s440e26406_2Samples_20200105	P231047501		
A11802	T8022142R-RT	R20025246LU01	Project_s440e26557_8Samples_20200704	P231180202		
A06646	A06646RT-2F	R20006860-Agilent-FFPE	Project_s440g01017_12Samples_20200308	P23A06646FFPE2		
A10845	T8453921R-RT	R20011105LU01	Project_s440e26481_4Samples_20200410	P231084501		
A09041	T0417632R-RT	R19036107LU01	Project_s440e26260_7Samples_20190819	P230904101		
A10992	T9921341R-RT	R20011463LU01	Project_s440e26485_6Samples_20200413	P231099201		
A07304	T3043451R-RT	R20014330LU01	Project_s440e26505_46Samples_20200505	P23KYA07304CC		
A07948	T9482848RA-RT	R20014028LU01	Project_s440e26502_61Samples_20200502	P23KYA07948CC		
A11557	T5579602R-RT	R20023418LU01	Project_s440e26546_1Samples_20200623	P231155701		
A10911	T9112561R-RT	R20008871LU01	Project_s440e26464_5Samples_20200323	P231091101		
A01513	T5136351R-RT	R20024989-pool3-T5136351R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA01513HM11		
A06869	T8699731R-RT	R20023442-T8699731R-RT	Project_s440g01023_36Samples_20200620	P23KYA0686903		
A09715	T7151281R-RT	R19045125LU01	Project_s440e26329_11Samples_20191020	P230971501		
A11883	T8837772R-RT	R20027259LU01	Project_s440e26564_8Samples_20200711_1594455807	P231188301		
A09889	T8897852R-RT	R20014313LU01	Project_s440e26505_46Samples_20200505	P23KYA09889CC		
A07982	T9825472R-RT	R19023851LU01	Project_s440e26156_6Samples_20190528	P230798201		
A08017	T0174388RA-RT	R20014030LU01	Project_s440e26502_61Samples_20200502	P23KYA08017CC		
A09969	T9692992R-RT	R20016281-T9692992R-RT	Project_s440g01021_10Samples_20200519	P23KYA09969		
A11841	T8415621R-RT	R20025263LU01	Project_s440e26557_8Samples_20200704	P231184101		
A09335	T3359972R2-RT	R19041065LU01	Project_s440e26301_3Samples_20190920	P230933501 		
A03467	T4675022-RT	R19041090LU01	Project_s440e26301_3Samples_20190920	P23A03467T		
A10402	T4023511R-RT	R19057785LU01	Project_s440e26404_3Samples_20191228	P231040201		
A11665	T6654312R-RT	R20024225LU01	Project_s440e26550_2Samples_20200627	P231166501		
A08393	T3934731R-RT	R19028409LU01	Project_s440e26193_4Samples_20190627	P230839301		
A10765	T7651122R-RT	R20003994LU01	Project_s440e26440_8Samples_20200224	P231076501		
A07303	T3036601RA-RT	R20014008LU01	Project_s440e26502_61Samples_20200502	P23KYA07303CC		
A09681	T6811312R-RT	R19045980LU01	Project_s440e26336_20Samples_20191028	P230968101		
A08520	T5208221R-RT	R19030274LU01	Project_s440e26209_10Samples_20190708	P230852001		
A08635	T6353021R-RT	R19033382LU01	Project_s440e26235_5Samples_20190728	P230863501		
A10742	T7426322R-RT	R20003993LU01	Project_s440e26440_8Samples_20200224	P231074201		
A10855	T8556771R-RT	R20006370LU01	Project_s440e26451_6Samples_20200307	P231085501		
A02910	T9109071R-RT	R20034814LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA02910PDL		
A11802	T8028652R-RT	R20036450LU01	Project_s440e26608_8Samples_20200818_1597741963	P231180203		
A08187	T1873262R-RT	R19026977LU01	Project_s440e26180_5Samples_20190615	P230818701		
A08772	T7727481R-RT	R19033399LU01	Project_s440e26235_5Samples_20190728	P230877201		
A04930	T9304292RA-RT	R20014019LU01	Project_s440e26502_61Samples_20200502	P23KYA04930CC		
A10563	T5637611R-RT	R20000447LU01	Project_s440e26416_3Samples_20200110	P231056301		
A01140	T1402551R-RT	R20034807LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA01140PDL		
A07611	T6112172R-TR	R19018787LU01	Project_s440e26111_7Samples_20190425	P230761101		
A09615	T6157541R-RT	R19043600LU01	Project_s440e26323_9Samples_20191013	P230961501		
A11664	T6643372R1-RT	R20024739LU01	Project_s440e26552_3Samples_20200630	P231166401		
A09877	A09877cDNA	IDT-library-1	Project_s440g01014_18Samples_20191229	P23A09877L1		
A07298	T2985768RA-RT	R20014026LU01	Project_s440e26502_61Samples_20200502	P23KYA07298CC		
A06776	T7762431R-TR	R19005297LU01	Project_s440e26027_2Samples_20190220	P230677601		
A11955	T9553571R-RT	R20030013LU01	Project_s440e26580_6Samples_20200725_1595671962	P231195501		
A03947	T9474531R-RT	R20032915LU01	Project_s440e26597_14Samples_20200809_1596972738	P23KYA03947CC1		
A10957	T9573621R-RT	R20009649LU01	Project_s440e26472_6Samples_20200330	P231095701		
A07808	T8087022R-RT	R19022329LU01	Project_s440e26144_3Samples_20190518	P230780801		
A09140	T1402031R-RT	R19036827LU01	Project_s440e26269_7Samples_20190827	P230914001		
A09744	T7442582R-RT	R19045129LU01	Project_s440e26329_11Samples_20191020	P230974401		
A02476	T4762911R-TR	R19006392LU01	Project_s440e26038_5Samples_20190226	P230247601		
A10078	T0782432R-RT	R19050373LU01	Project_s440e26360_8Samples_20191117	P231007801		
A10172	T1723431R-RT	R19053634LU01	Project_s440e26377_12Samples_20191201	P231017201		
A08463	T4639981R-RT	R19029752LU01	Project_s440e26203_2Samples_20190704	P230846301		
A08552	T5521281R-RT	R19030284LU01	Project_s440e26209_10Samples_20190708	P230855201		
A10332	T3328342R-RT	R19055490LU01	Project_s440e26389_1Samples_20191227	P231033201		
A07551	T5511872R-RT	R20014312LU01	Project_s440e26505_46Samples_20200505	P23KYA07551CC		
A05898	T8983211RA-RT	R20014349LU01	Project_s440e26505_46Samples_20200505	P23KYA05898CC		
A06363	T3631951R-RT	R20013591LU01	Project_s440e26499_42Samples_20200430	P23KYA06363CC		
A05844	T8447022RA-RT	R20012913LU01	Project_s440e26495_56Samples_20200425	P23KYA05844CC		
A08288	T2888881R-RT	R19028422LU01	Project_s440e26193_4Samples_20190627	P230828801		
A09864	T8646892R-RT	R19046351LU01	Project_s440e26338_6Samples_20191031	P230986401		
A08326	T3264351R-RT	R19029324LU01	Project_s440e26200_7Samples_20190630	P230832601		
AZS19T	ZS_19T	ZS_19T	zhongshan_huangxiaowu	P23BIAZS19T		
A10959	T9595881R-RT	R20010676LU01	Project_s440e26479_2Samples_20200406	P231095901		
A04432	T4325498R-RT	R19021313LU01	Project_s440e26134_6Samples_20190511	P230443201		
A08948	T9483851R-RT	R19035663LU01	Project_s440e26253_6Samples_20190815	P230894801		
A10388	T3885881R-RT	R19056907LU01	Project_s440e26395_4Samples_20191224	P231038801		
A05570	T5701391-TR	R18062960LU01	Project_s440e03492_6Samples_181029	P2305570		
A09139	T1394858RA-RT	R20014338LU01	Project_s440e26505_46Samples_20200505	P23KYA09139CC		
A07370	T3703181R-TR	R19014995LU01	Project_s440e26092_38Samples_20190406	P230737001		
A05849	T8495938-RT	R20014309LU01	Project_s440e26505_46Samples_20200505	P23KYA05849CC		
A11671	T6716188R-RT	R20024742LU01	Project_s440e26552_3Samples_20200630	P231167101		
AZS8T	ZS_8T	ZS_8T	zhongshan_huangxiaowu	P23BIAZS8T		
A12000	T0009901R-RT	R20032906LU01	Project_s440e26597_14Samples_20200809_1596972738	P231200001		
A08243	T2438081R-RT	R20014335LU01	Project_s440e26505_9Samples_20200508	P23KYA08243CC		
A03964	T9649141-RT	R20015344LU01	Project_s440e26511_19Samples_20200514	P23KYA03964CC		
A10780	T7809612R-RT	R20003537LU01	Project_s440e26437_4Samples_20200219	P231078001		
AZS11T	ZS_11T	ZS_11T	zhongshan_huangxiaowu	P23BIAZS11T		
A08191	T1912158R-RT	R19026663LU01	Project_s440e26175_7Samples_20190611	P230819101		
AZS14T	ZS_14T	ZS_14T	zhongshan_huangxiaowu	P23BIAZS14T		
A10155	T1556891R-RT	R19055480LU01	Project_s440e26389_7Samples_20191217	P231015501		
A07642	T6426522R-TR	R19018799LU01	Project_s440e26111_7Samples_20190425	P230764201		
A07345	T3451248R-TR	R19013865LU01	Project_s440e26085_5Samples_20190402	P230734501		
A04973	T9738618RA-RT	R20013570LU01	Project_s440e26499_42Samples_20200430	P23KYA04973CC		
